Posted Date,Reference Number,Payee,Address,Amount
12/20/2019,                       ,"INTEREST CHARGED ON PURCHASES","",-71.12
12/20/2019,24000979353855900691341,"PRONTO PIZZERIA ROTISSE REDWOOD CITY CA","REDWOOD CITY  CA ",-22.77
12/19/2019,24269799352500625790296,"PIZZA MY HEART - MIDDLEFIREDWOOD CITY CA","REDWOOD CITY  CA ",-15.57
12/18/2019,                       ,"LATE FEE FOR PAYMENT DUE","",-25.00
12/17/2019,24692169350100286250485,"UNITED 0161554066965800-932-2732 TX","800-932-2732  TX ",-33.00
12/17/2019,24692169350100286250477,"UNITED 0161554066964800-932-2732 TX","800-932-2732  TX ",-33.00
12/17/2019,24692169350100285921847,"UNITED 0162486353220800-932-2732 TX","800-932-2732  TX ",-11.20
12/17/2019,24137469350500783865346,"TST* BEECHER S HANDMADE CEVERETT WA","EVERETT       WA ",-20.66
12/16/2019,24013399349002009003952,"8991 GREAT CLIPS AT ISLANMERCER ISLANDWA","MERCER ISLAND WA ",-29.89
12/16/2019,24692169349100540451758,"AMZN Mktp US*WJ0M11FY3 Amzn.com/billWA","Amzn.com/bill WA ",-14.27
12/16/2019,24692169348100117513338,"AMZN Mktp US*QC33C8PP3 Amzn.com/billWA","Amzn.com/bill WA ",-32.99
12/16/2019,24692169348100098992543,"AMZN Mktp US*PX1E49N63 Amzn.com/billWA","Amzn.com/bill WA ",-14.27
12/14/2019,24812399347900013345662,"BATON VAPOR 425-8207154 NV","425-8207154   NV ",-42.52
12/14/2019,24692169347100278462722,"AMZN Mktp US*9I79I7UX3 Amzn.com/billWA","Amzn.com/bill WA ",-72.91
12/14/2019,24137469347500665833087,"SIZZLER #522 REDWOOD CITY CA","REDWOOD CITY  CA ",-22.62
12/13/2019,24692169347100936748686,"CHEVRON 0097016 REDWOOD CITY CA","REDWOOD CITY  CA ",-14.24
12/13/2019,24207859346324200348032,"US CHINESE FOOD REDWOOD CITY CA","REDWOOD CITY  CA ",-10.42
12/13/2019,24492159346719756035462,"AIRBNB HMQCCPY8DK AIRBNB.COM CA","AIRBNB.COM    CA ",-486.60
12/12/2019,24431069346400281031962,"ALASKA AIR IN FLIGHT PURCHASE REBATE","",1.50
12/12/2019,24431069346400281031962,"ALASKA AIR IN FLIGHT SEATAC WA","SEATAC        WA ",-7.50
12/10/2019,24000979343794900749580,"PRONTO PIZZERIA ROTISSE REDWOOD CITY CA","REDWOOD CITY  CA ",-24.58
12/09/2019,24055229342706000006211,"DICK'S DRIVE-IN WALLINGF SEATTLE WA","SEATTLE       WA ",-8.04
12/09/2019,24692169341100034523383,"SHARKS CAGE NC-14 SJC SAN JOSE CA","SAN JOSE      CA ",-24.84
12/09/2019,24755429341263413485970,"RPS PAINE FIELD PARKING CHATTANOOGA TN","CHATTANOOGA   TN ",-90.00
12/06/2019,24431069339083716163060,"AMZN MKTP US*O26FF1HR3 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-21.94
12/06/2019,24164079339091007835082,"TARGET 00003210 REDWOOD CITY CA","REDWOOD CITY  CA ",-40.60
12/06/2019,24000979339771500405843,"PRONTO PIZZERIA ROTISSE REDWOOD CITY CA","REDWOOD CITY  CA ",-25.68
12/06/2019,24639239339900014000737,"CITY OF MERCER ISLAND 206-2757784 WA","206-2757784   WA ",-242.95
12/04/2019,24692169338100734954883,"Amazon Music*ED3EN8T43 888-802-3080 WA","888-802-3080  WA ",-8.79
12/04/2019,24431069338026448175960,"WYNDHAM VACATION OWNERSH 8669484565 FL","8669484565    FL ",-149.00
12/04/2019,24431069338026448179855,"WYNDHAM VACATION OWNERSH 8669484565 FL","8669484565    FL ",-99.00
12/04/2019,24445009338600141102297,"CENTURYLINK SIMPLE 800-201-4099 LA","800-201-4099  LA ",-65.00
12/04/2019,24431069337331900826246,"ALASKA AIR 0277433658992SEATTLE WA","SEATTLE       WA ",-614.10
12/04/2019,24013399337000321913670,"OSTROMS DRUG & GIFT KENMORE WA","KENMORE       WA ",-5.63
12/04/2019,24428069337500827927437,"802 KENMORE KIDD VALLEY KENMORE WA","KENMORE       WA ",-13.30
12/02/2019,24000979335750803507517,"TS MCHUGHS RESTAURANT SEATTLE WA","SEATTLE       WA ",-49.40
11/30/2019,24269799334000923694467,"VINCES ITALIAN RESTAU FEDERAL WAY WA","FEDERAL WAY   WA ",-23.80
11/29/2019,24445009332300253286808,"QFC #5839 MERCER ISLANDWA","MERCER ISLAND WA ",-10.66
11/29/2019,24316059332548734031216,"SHELL OIL 57444032502 MERCER ISLANDWA","MERCER ISLAND WA ",-34.18
11/29/2019,24009599332500923518781,"FEDERAL WAY INDOOR RANGE FEDERAL WAY WA","FEDERAL WAY   WA ",-39.57
11/29/2019,24009599332500923518609,"FEDERAL WAY INDOOR RANGE FEDERAL WAY WA","FEDERAL WAY   WA ",-27.50
11/29/2019,24427339331740279873002,"MCDONALD'S F10603 RENTON WA","RENTON        WA ",-9.45
11/29/2019,24431069331200283801553,"MURPHY'S PUB SEATTLE WA","SEATTLE       WA ",-50.52
11/25/2019,24445009328300369184208,"QFC #5839 MERCER ISLANDWA","MERCER ISLAND WA ",-8.61
11/25/2019,24692169328100536063265,"Amazon.com*SN6TE3LS3 Amzn.com/billWA","Amzn.com/bill WA ",-9.89
11/25/2019,24692169328100422196575,"AMZN Mktp US*KQ5K94S93 Amzn.com/billWA","Amzn.com/bill WA ",-54.99
11/25/2019,24137469328100527934281,"TST* RIONE XIII SEATTLE WA","SEATTLE       WA ",-102.45
11/25/2019,24431069328083751521076,"AMZN MKTP US*WU1BZ6RU3 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-10.95
11/25/2019,24431069328200283500432,"MURPHY'S PUB SEATTLE WA","SEATTLE       WA ",-34.52
11/25/2019,24692169328100305427097,"TM *PETER SAGAL 206-628-0888 CA","206-628-0888  CA ",-115.00
11/25/2019,24692169328100187951628,"AMZN Mktp US*FG3TU6HI3 Amzn.com/billWA","Amzn.com/bill WA ",-52.99
11/25/2019,24431069327083353939297,"AMZN MKTP US*9343B5Q23 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-27.46
11/23/2019,24431069327083344092529,"AMZN MKTP US*1V0IT7XJ3 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-41.09
11/22/2019,24269799326000957997489,"VINCES ITALIAN RESTAU FEDERAL WAY WA","FEDERAL WAY   WA ",-23.80
11/22/2019,24431069325083327247241,"AMAZON.COM*D49HL7LS3 AMZNAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-59.13
11/22/2019,24009599325500728599324,"FEDERAL WAY INDOOR RANGE FEDERAL WAY WA","FEDERAL WAY   WA ",-27.50
11/21/2019,24431069325083331018448,"AMZN MKTP US*WY8WE2SD3 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-17.47
11/21/2019,24251389324030040964347,"KOZUE JAPANESE RESTAURANTSEATTLE WA","SEATTLE       WA ",-24.37
11/21/2019,24431069324200283200821,"MURPHY'S PUB SEATTLE WA","SEATTLE       WA ",-29.50
