Date,Amount,Description,Category,Source
2019-10-24,-25.75,LATONA PUB SEATTLE WA,,ALASKA VISA
2019-10-24,-252.0,MADRONA FAMILY DENTAL SEATTLE WA,,ALASKA VISA
2019-10-24,-11.12,CUPCAKE ROYALE - MADRONA SEATTLE WA,,ALASKA VISA
2019-10-25,-44.4,TST* BENNETT S PURE FOOD MERCER ISLANDWA,,ALASKA VISA
2019-10-25,-19.38,76 - UNITED PACIFIC 5483 FEDERAL WAY WA,,ALASKA VISA
2019-10-25,-23.25,VINCES ITALIAN RESTAU FEDERAL WAY WA,,ALASKA VISA
2019-10-26,-428.0,Cave Country Dive Shop HIGH SPRINGS FL,,ALASKA VISA
2019-10-29,-26.21,DOOFERS BAR AND GRILL RENTON WA,,ALASKA VISA
2019-10-29,-7.03,MCDONALD'S F10651 BELLEVUE WA,,ALASKA VISA
2019-10-31,-45.58,CAFE PRESSE SEATTLE WA,,ALASKA VISA
2019-10-31,-75.0,ANNUAL FEE,,ALASKA VISA
2019-11-01,-27.5,FEDERAL WAY INDOOR RANGE FEDERAL WAY WA,,ALASKA VISA
2019-11-01,-27.29,GRAB A GUN 972-552-7246 TX,,ALASKA VISA
2019-11-02,-31.39,VINCES ITALIAN RESTAU FEDERAL WAY WA,,ALASKA VISA
2019-11-04,-65.0,CENTURYLINK SIMPLE 800-201-4099 LA,,ALASKA VISA
2019-11-04,-28.12,WHITE SWAN PUBLIC HOUSE SEATTLE WA,,ALASKA VISA
2019-11-04,-49.29,VIA TRIBUNALI CAPITOL HILSEATTLE WA,,ALASKA VISA
2019-11-04,-66.7,BURGUNDIAN SEATTLE WA,,ALASKA VISA
2019-11-04,-14.7,IMPARK00250072U SEATTLE WA,,ALASKA VISA
2019-11-04,-171.39,OSTROMS DRUG & GIFT KENMORE WA,,ALASKA VISA
2019-11-04,-11.2,802 KENMORE KIDD VALLEY KENMORE WA,,ALASKA VISA
2019-11-07,-27.65,MIOPOSTO - MERCER ISLAND MERCER ISLANDWA,,ALASKA VISA
2019-11-07,-50.94,KATE'S PUB SEATTLE WA,,ALASKA VISA
2019-11-09,-35.53,AMZN Mktp US*GO1ZA6CN3 Amzn.com/billWA,,ALASKA VISA
2019-11-09,-54.23,LE GRAND BISTRO KIRKLAND WA,,ALASKA VISA
2019-11-11,-64.5,LOULAY SEATTLE WA,,ALASKA VISA
2019-11-11,-7.0,LAZ PARKING 780104 SEATTLE WA,,ALASKA VISA
