Date,Amount,Description,Category,Source
2019-01-01,1866.03,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-01-02,-94.48,Amazon Web Services AWS.Amazon.com      WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-01-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-01-06,-49.02,JACK'S BBQ,Restaurant-Restaurant,AMEX DELTA
2019-01-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-01-07,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-01-09,-2000.0,GALVANIZE,Other-Education,AMEX DELTA
2019-01-09,-18.3,WSFERRIES-MU,Other-Government Services,AMEX DELTA
2019-01-10,-24.22,VINCE'S ITALIAN RESTAURANT & PIZZERIA,Restaurant-Restaurant,AMEX DELTA
2019-01-10,-31.98,JACK'S BBQ,Restaurant-Restaurant,AMEX DELTA
2019-01-13,-37.7,BOB'S BURGERS & BREW,Restaurant-Restaurant,AMEX DELTA
2019-01-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-01-16,-20.0,IPAYX*POLYCLINIC,Business Services-Health Care Services,AMEX DELTA
2019-01-16,-6000.0,GALVANIZE,Other-Education,AMEX DELTA
2019-01-16,-33.63,LONDON PLANET,Restaurant-Restaurant,AMEX DELTA
2019-01-16,-12.37,LYFT   *RIDE WED 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-17,-126.32,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-01-17,-195.0,RENEWAL MEMBERSHIP FEE,Fees & Adjustments-Fees & Adjustments,AMEX DELTA
2019-01-17,-11.24,LYFT   *RIDE THU 9AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-17,-36.98,TAYLOR SHELLFISH OYSTER BAR,Restaurant-Restaurant,AMEX DELTA
2019-01-18,-11.2,GRAND CENTRAL BAKERY,Merchandise & Supplies-Groceries,AMEX DELTA
2019-01-18,-5.84,DICK'S DRIVE-IN,Restaurant-Bar & Café,AMEX DELTA
2019-01-21,-21.64,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-01-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-01-23,-153.64,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-01-25,-22.0,MATSU,Restaurant-Restaurant,AMEX DELTA
2019-01-25,-8.15,LYFT   *RIDE FRI 8PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-26,-11.55,LYFT   *RIDE FRI 11PSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-28,-12.06,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-01-29,-11.26,TST* EVERGREENS - PIONEER,Restaurant-Restaurant,AMEX DELTA
2019-01-30,-16.65,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-01-30,-35.45,COLLINS PUB,Restaurant-Restaurant,AMEX DELTA
2019-01-30,-61.5,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-01-31,-12.34,THE BERLINER DNER KEBAB,Restaurant-Restaurant,AMEX DELTA
2019-01-31,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-02-01,-16.26,I FIVE PHO,Restaurant-Restaurant,AMEX DELTA
2019-02-01,10784.52,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-02-02,-47.37,AMAZON LOCAL,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-02,-87.96,Amazon Web Services AWS.Amazon.com      WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-02,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-02-02,-3666.53,IPAYX*POLYCLINIC,Business Services-Health Care Services,AMEX DELTA
2019-02-02,-101.84,DERE AUTO 1,Transportation-Auto Services,AMEX DELTA
2019-02-03,-8.8,AMAZON MUSIC*MB4KX7W888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-02-06,-12.45,LYFT   *RIDE WED 9AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-02-06,-22.04,SHEJUMPS,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-02-07,-10.81,TST* EVERGREENS - PIONEER,Restaurant-Restaurant,AMEX DELTA
2019-02-07,-24.0,LYFT   *RIDE THU 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-07,-19.52,LYFT   *RIDE THU 9PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-07,-16.65,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-02-07,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-02-08,-15.37,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-02-08,-8.0,PEDDLER BREWING COMPANY,Restaurant-Restaurant,AMEX DELTA
2019-02-11,-15.78,W C WOLFF CO,Merchandise & Supplies-Sporting Goods Stores,AMEX DELTA
2019-02-12,-29.0,Zillow,Business Services-Other Services,AMEX DELTA
2019-02-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-02-15,-16.27,I FIVE PHO,Restaurant-Restaurant,AMEX DELTA
2019-02-18,-21.58,SAFEWAY STORE,Merchandise & Supplies-Groceries,AMEX DELTA
2019-02-19,-34.18,CENTRAL PIZZA,Restaurant-Restaurant,AMEX DELTA
