Date,Amount,Description,Category,Source
2019-01-08,-0.25,COLLEGE TRANSCRIPT,Other Services,CAPITAL ONE VISA
2019-01-09,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-01-09,-8.26,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-01-15,-15.37,TST* SALUMI ARTISAN CURED,Dining,CAPITAL ONE VISA
2019-01-15,-16.01,TST* SALUMI ARTISAN CURED,Dining,CAPITAL ONE VISA
2019-01-19,-13.21,FLATSTICK PUB LLC,Dining,CAPITAL ONE VISA
2019-01-21,81.75,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-01-24,-10.41,TST* MEG S,Dining,CAPITAL ONE VISA
2019-01-30,-13.21,TST* MEG S,Dining,CAPITAL ONE VISA
2019-02-14,-5.84,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-02-15,-17.29,TST* SALUMI ARTISAN CURED,Dining,CAPITAL ONE VISA
2019-02-16,-4.4,MCDONALD'S F4728,Dining,CAPITAL ONE VISA
2019-02-21,80.6,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-02-26,-10.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-02-26,-10.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-02-27,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-02-27,-6.25,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-03-02,-6.94,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-03-18,-8.15,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-03-21,51.15,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-03-29,-11.4,SQ *MANU'S TACOS FL,Dining,CAPITAL ONE VISA
2019-04-03,-8.45,FLATSTICK PUB LLC,Dining,CAPITAL ONE VISA
2019-04-06,-11.55,MCDONALD'S F435,Dining,CAPITAL ONE VISA
2019-04-08,-40.44,GOODWILL SEATTLE  - DI,Merchandise,CAPITAL ONE VISA
2019-04-09,-15.95,SQ *HOLE IN THE WAL,Dining,CAPITAL ONE VISA
2019-04-09,-7.8,FLATSTICK PUB LLC,Dining,CAPITAL ONE VISA
2019-04-11,-6.46,SAFEWAY #1993,Merchandise,CAPITAL ONE VISA
2019-04-13,-18.7,PAYBYPHONE DIAMOND PAR,Gas/Automotive,CAPITAL ONE VISA
2019-04-17,-18.68,SQ *TAT'S DELICATES,Dining,CAPITAL ONE VISA
2019-04-21,68.84,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-04-27,-19.0,CAYMAN AIRWAYS LITTLE CYM,Airfare,CAPITAL ONE VISA
2019-04-27,-57.52,LITTLE CAYMAN BEACH,Lodging,CAPITAL ONE VISA
2019-04-27,-52.95,LITTLE CAYMAN BEACH,Lodging,CAPITAL ONE VISA
2019-05-02,-9.88,HUNGRY HORSE,Dining,CAPITAL ONE VISA
2019-05-02,-30.0,TORTUGA RUM/AIRPORT,Merchandise,CAPITAL ONE VISA
2019-05-06,-6.45,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-05-08,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-05-10,-8.89,PAYBYPHONE DIAMOND PAR,Gas/Automotive,CAPITAL ONE VISA
2019-05-11,-5.98,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-05-21,139.43,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-05-22,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-05-28,-5.58,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-05-29,-13.8,PAYBYPHONE DIAMOND PAR,Gas/Automotive,CAPITAL ONE VISA
2019-05-30,-2.17,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-06-13,-26.05,PAYBYPHONE DIAMOND PAR,Gas/Automotive,CAPITAL ONE VISA
