Date,Amount,Description,Category,Source
2018-12-31,-63.42,QFC 5849: Sale,Groceries,CHASE UNITED VISA
2018-12-31,-42.23,NORMS EATERY AND ALEHOUSE: Sale,Food & Drink,CHASE UNITED VISA
2019-01-04,-8.8,Amazon Music*M238Y32J2: Sale,Shopping,CHASE UNITED VISA
2019-01-05,-131.02,Amazon Prime: Sale,Bills & Utilities,CHASE UNITED VISA
2019-01-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-01-15,2669.2,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-01-21,-17.09,Amazon.com*MB0ET15R1: Sale,Shopping,CHASE UNITED VISA
2019-01-23,-5.84,DICK'S DRIVE-IN WALLINGFO: Sale,Food & Drink,CHASE UNITED VISA
2019-01-26,-19.61,LESCHI FOOD MART: Sale,Groceries,CHASE UNITED VISA
2019-01-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-02-02,-13.13,802 KENMORE KIDD VALLEY: Sale,Food & Drink,CHASE UNITED VISA
2019-02-05,-18.92,LESCHI FOOD MART: Sale,Groceries,CHASE UNITED VISA
2019-02-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-02-08,-60.0,KING COUNTY METRO: Sale,Travel,CHASE UNITED VISA
2019-02-15,1030.01,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-02-15,-4.13,CAFFE UMBRIA OCCIDENTAL: Sale,Food & Drink,CHASE UNITED VISA
2019-02-18,-92.69,CAFE PRESSE: Sale,Food & Drink,CHASE UNITED VISA
2019-02-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-03-01,-62.71,AUDIT &amp; ADJUSTMENT COMPAN: Sale,Health & Wellness,CHASE UNITED VISA
2019-03-03,-12.64,802 KENMORE KIDD VALLEY: Sale,Food & Drink,CHASE UNITED VISA
2019-03-05,-11.26,TST* MEG S: Sale,Food & Drink,CHASE UNITED VISA
2019-03-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-03-13,-40.0,KING COUNTY METRO 4: Sale,Travel,CHASE UNITED VISA
2019-03-15,668.35,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-03-16,-18.02,MCDONALD'S F11027: Sale,Food & Drink,CHASE UNITED VISA
2019-03-19,-40.43,MAD PIZZA - SEATTLE: Sale,Food & Drink,CHASE UNITED VISA
2019-03-22,-5.84,FLATSTICK PUB LLC: Sale,Food & Drink,CHASE UNITED VISA
2019-03-23,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-03-23,-3.76,LUXSCI: Sale,Personal,CHASE UNITED VISA
2019-03-26,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-03-27,-14.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-03-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-03-28,-11.26,TST* MEG S: Sale,Food & Drink,CHASE UNITED VISA
2019-03-30,-66.05,MAD PIZZA - SEATTLE: Sale,Food & Drink,CHASE UNITED VISA
2019-03-30,-13.5,SQ *OPTIMISM BREWING COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-03-30,-6.75,SQ *OPTIMISM BREWING COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-03-30,-6.75,SQ *OPTIMISM BREWING COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-03-31,-93.0,TM *GOGOL BORDELLO: Sale,Entertainment,CHASE UNITED VISA
2019-04-01,-19.82,I HEART SUSHI: Sale,Food & Drink,CHASE UNITED VISA
2019-04-02,-11.0,USPS PO 5476340052: Sale,Shopping,CHASE UNITED VISA
2019-04-03,-60.0,KING COUNTY METRO: Sale,Travel,CHASE UNITED VISA
2019-04-03,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-04-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-04-07,-27.51,GOODWILL SEATTLE  - DI: Sale,Shopping,CHASE UNITED VISA
2019-04-12,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-04-13,-44.5,GEORGETOWN LIQUOR COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-04-15,766.95,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-04-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-05-03,-6.6,MCDONALD'S F11027: Sale,Food & Drink,CHASE UNITED VISA
2019-05-03,-50.0,USCUSTOMS TRUSTEDTRAVELER: Sale,Bills & Utilities,CHASE UNITED VISA
2019-05-03,-85.73,VERTIGO VAPOR: Sale,Shopping,CHASE UNITED VISA
2019-05-04,-285.0,US PRACTICAL SHOOTING: Sale,Personal,CHASE UNITED VISA
2019-05-04,-305.17,LOWES #02420*: Sale,Home,CHASE UNITED VISA
2019-05-05,-7.23,THE VAPE MALL: Sale,Shopping,CHASE UNITED VISA
2019-05-07,-17.29,TST* SALUMI ARTISAN CURED: Sale,Food & Drink,CHASE UNITED VISA
2019-05-07,-54.0,TST* ROB ROY: Sale,Food & Drink,CHASE UNITED VISA
2019-05-07,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-05-07,-70.02,ZANE &amp; WYLIES SEATTLE STE: Sale,Food & Drink,CHASE UNITED VISA
2019-05-07,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-05-08,-12.64,MAIN ST GYROS: Sale,Food & Drink,CHASE UNITED VISA
2019-05-08,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-05-09,-49.49,Amazon.com*MN4J90JS1: Sale,Shopping,CHASE UNITED VISA
2019-05-09,-23.65,VINCE'S ITALIAN RESTAU: Sale,Food & Drink,CHASE UNITED VISA
2019-05-09,-9.34,Amazon.com*MN46Z0TG1: Sale,Shopping,CHASE UNITED VISA
2019-05-09,-98.79,Amazon.com*MN2I614V0: Sale,Shopping,CHASE UNITED VISA
2019-05-09,-11.71,SQ *GRAND CENTRAL BAKERY: Sale,Food & Drink,CHASE UNITED VISA
2019-05-09,-129.14,BENSTOEGERPROSHOP COM: Sale,Shopping,CHASE UNITED VISA
2019-05-09,-70.44,FLOWER SHOP NETWORK: Sale,Shopping,CHASE UNITED VISA
2019-05-10,-189.18,HFT*HARBOR FRGHT TOOLS: Sale,Home,CHASE UNITED VISA
2019-05-10,-467.82,AMZN Mktp US*MN75S4L10: Sale,Shopping,CHASE UNITED VISA
2019-05-10,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-05-10,-166.51,TST* STAPLE &amp; FANCY: Sale,Food & Drink,CHASE UNITED VISA
2019-05-11,-73.38,OCHO: Sale,Food & Drink,CHASE UNITED VISA
2019-05-11,-43.3,QFC 5839: Sale,Groceries,CHASE UNITED VISA
2019-05-12,-30.14,BOBS BURGERS  BREW - PUYA: Sale,Food & Drink,CHASE UNITED VISA
2019-05-13,-95.11,REPUBLIC SERVICES TRASH: Sale,Bills & Utilities,CHASE UNITED VISA
2019-05-14,-36.78,IPM - LOT HT - HAWK TOWER: Sale,Travel,CHASE UNITED VISA
2019-05-14,-134.76,PURPLE CAFE WINE BAR SEA: Sale,Food & Drink,CHASE UNITED VISA
2019-05-14,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-05-14,-95.43,STATE FARM  INSURANCE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-05-15,1066.8,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-05-16,-15.61,MADRONA ARMS: Sale,Food & Drink,CHASE UNITED VISA
2019-05-16,-21.19,TUSCAN STONE PIZZA (ME: Sale,Food & Drink,CHASE UNITED VISA
2019-05-17,-75.07,AMZN Mktp US*MN80F9142: Sale,Shopping,CHASE UNITED VISA
2019-05-17,-47.31,AMZN Mktp US*MN1WM2511: Sale,Shopping,CHASE UNITED VISA
2019-05-19,-34.26,TST* HOPS N DROPS - SMOKE: Sale,Food & Drink,CHASE UNITED VISA
2019-05-20,-1402.82,DILLON PRECISION PRODUCTS: Sale,Shopping,CHASE UNITED VISA
2019-05-21,-32.5,SIFF: Sale,Entertainment,CHASE UNITED VISA
2019-05-21,-55.0,SIFF: Sale,Entertainment,CHASE UNITED VISA
