Date,Amount,Description,Category,Source
2019-01-02,-43.96,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-02,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-01-18,904.17,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-01-19,-43.14,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-19,-224.76,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-26,-106.12,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-26,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-02-02,-120.0,Costco Membership Renewal 1 800 774 2678,,CITI COSTCO VISA
2019-02-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-02-18,330.56,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-02-24,-43.83,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-02-24,-123.72,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-03,-42.59,COSTCO GAS #1190 LYNNWOOD WA,,CITI COSTCO VISA
2019-03-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-03-16,-416.65,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-18,244.82,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-03-23,-223.02,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-23,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-31,-35.25,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-31,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-04-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-04-09,-356.61,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-04-18,636.69,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-05-06,-190.07,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-05-06,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-06,-22.52,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-17,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-17,-45.91,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-18,636.42,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-05-20,-593.33,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-20,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-21,-8.0,LAZ PARKING 780500 SEATTLE WA,,CITI COSTCO VISA
2019-05-26,-39.17,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-05-26,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-06-02,-43.66,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-06-02,-239.94,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-06-02,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-06-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-06-16,-47.42,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-06-16,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-06-18,876.21,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-06-29,-305.03,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-06-29,-31.07,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-07-06,-96.3,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-06,-53.55,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-18,408.53,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-07-19,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-19,-128.15,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-19,-38.11,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-28,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-28,-240.16,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-07-28,-45.52,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-08-08,-166.23,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-08,-45.12,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-08,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-18,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-18,664.95,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-08-18,-144.34,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-18,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-28,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-08-28,-41.47,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-09-01,-28.42,COSTCO GAS #1216 BELLINGHAM WA,,CITI COSTCO VISA
2019-09-03,-185.15,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-09-03,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-09-03,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-09-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-09-12,-47.25,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-09-15,-291.9,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-09-18,668.59,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-09-28,-46.05,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-01,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-01,-196.61,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-03,-48.56,COSTCO GAS #0061 FEDERAL WAY WA,,CITI COSTCO VISA
2019-10-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-10-07,-71.45,NINE PIES PIZZERIA SEATTLE WA,,CITI COSTCO VISA
2019-10-11,-144.32,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-11,-70.0,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-11,-20.92,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-11,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-18,618.57,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-10-24,-36.32,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-24,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-10-24,-237.11,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-11-01,-92.97,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-11-01,-54.22,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-11-06,-9.89,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-11-10,-38.85,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-11-10,-205.31,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-11-16,-414.23,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-11-16,-26.65,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-11-18,613.49,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-12-02,-43.91,COSTCO GAS #0008 KIRKLAND WA,,CITI COSTCO VISA
2019-12-06,-9.89,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-12-07,-391.24,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-12-18,1118.39,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
