Date,Amount,Description,Category,Source
2018-12-31,-63.42,QFC 5849: Sale,Groceries,CHASE UNITED VISA
2018-12-31,-42.23,NORMS EATERY AND ALEHOUSE: Sale,Food & Drink,CHASE UNITED VISA
2019-01-01,1866.03,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-01-02,-1866.03,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-01-02,-94.48,Amazon Web Services AWS.Amazon.com      WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-01-02,-43.96,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-02,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-04,-8.8,Amazon Music*M238Y32J2: Sale,Shopping,CHASE UNITED VISA
2019-01-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-01-05,-131.02,Amazon Prime: Sale,Bills & Utilities,CHASE UNITED VISA
2019-01-06,-49.02,JACK'S BBQ,Restaurant-Restaurant,AMEX DELTA
2019-01-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-01-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-01-07,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-01-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-01-08,-0.25,COLLEGE TRANSCRIPT,Other Services,CAPITAL ONE VISA
2019-01-09,15000.0,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 101874046 FROM XXX-XX7145,,MS CHECKING
2019-01-09,-2000.0,GALVANIZE,Other-Education,AMEX DELTA
2019-01-09,-18.3,WSFERRIES-MU,Other-Government Services,AMEX DELTA
2019-01-09,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-01-09,-8.26,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-01-10,-24.22,VINCE'S ITALIAN RESTAURANT & PIZZERIA,Restaurant-Restaurant,AMEX DELTA
2019-01-10,-31.98,JACK'S BBQ,Restaurant-Restaurant,AMEX DELTA
2019-01-13,-37.7,BOB'S BURGERS & BREW,Restaurant-Restaurant,AMEX DELTA
2019-01-14,-3000.0,Check: BARTON SKUBI Check # 1148,,MS CHECKING
2019-01-15,2669.2,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-01-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-01-15,-15.37,TST* SALUMI ARTISAN CURED,Dining,CAPITAL ONE VISA
2019-01-15,-16.01,TST* SALUMI ARTISAN CURED,Dining,CAPITAL ONE VISA
2019-01-16,-2669.2,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-01-16,-6000.0,GALVANIZE,Other-Education,AMEX DELTA
2019-01-16,-20.0,IPAYX*POLYCLINIC,Business Services-Health Care Services,AMEX DELTA
2019-01-16,-33.63,LONDON PLANET,Restaurant-Restaurant,AMEX DELTA
2019-01-16,-12.37,LYFT   *RIDE WED 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-17,-126.32,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-01-17,-195.0,RENEWAL MEMBERSHIP FEE,Fees & Adjustments-Fees & Adjustments,AMEX DELTA
2019-01-17,-11.24,LYFT   *RIDE THU 9AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-17,-36.98,TAYLOR SHELLFISH OYSTER BAR,Restaurant-Restaurant,AMEX DELTA
2019-01-18,904.17,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-01-18,-11.2,GRAND CENTRAL BAKERY,Merchandise & Supplies-Groceries,AMEX DELTA
2019-01-18,-5.84,DICK'S DRIVE-IN,Restaurant-Bar & Café,AMEX DELTA
2019-01-19,-224.76,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-19,-43.14,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-19,-13.21,FLATSTICK PUB LLC,Dining,CAPITAL ONE VISA
2019-01-21,-21.64,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-01-21,81.75,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-01-21,-17.09,Amazon.com*MB0ET15R1: Sale,Shopping,CHASE UNITED VISA
2019-01-22,-81.75,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-01-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-01-22,-904.17,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-01-23,-153.64,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-01-23,-5.84,DICK'S DRIVE-IN WALLINGFO: Sale,Food & Drink,CHASE UNITED VISA
2019-01-24,-10.41,TST* MEG S,Dining,CAPITAL ONE VISA
2019-01-25,-8.15,LYFT   *RIDE FRI 8PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-25,-22.0,MATSU,Restaurant-Restaurant,AMEX DELTA
2019-01-26,-19.61,LESCHI FOOD MART: Sale,Groceries,CHASE UNITED VISA
2019-01-26,-106.12,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-26,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-01-26,-11.55,LYFT   *RIDE FRI 11PSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-01-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-01-28,-12.06,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-01-29,15000.0,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 102814719 FROM XXX-XX7145,,MS CHECKING
2019-01-29,-11.26,TST* EVERGREENS - PIONEER,Restaurant-Restaurant,AMEX DELTA
2019-01-30,-13.21,TST* MEG S,Dining,CAPITAL ONE VISA
2019-01-30,-61.5,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-01-30,-16.65,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-01-30,-35.45,COLLINS PUB,Restaurant-Restaurant,AMEX DELTA
2019-01-31,-12.34,THE BERLINER DNER KEBAB,Restaurant-Restaurant,AMEX DELTA
2019-01-31,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-02-01,-16.26,I FIVE PHO,Restaurant-Restaurant,AMEX DELTA
2019-02-01,10784.52,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-02-01,1.84,Interest Income: MORGAN STANLEY BANK N.A. (Period 01/01-02/03),,MS CHECKING
2019-02-02,-13.13,802 KENMORE KIDD VALLEY: Sale,Food & Drink,CHASE UNITED VISA
2019-02-02,-3666.53,IPAYX*POLYCLINIC,Business Services-Health Care Services,AMEX DELTA
2019-02-02,-101.84,DERE AUTO 1,Transportation-Auto Services,AMEX DELTA
2019-02-02,-47.37,AMAZON LOCAL,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-02,-87.96,Amazon Web Services AWS.Amazon.com      WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-02,-120.0,Costco Membership Renewal 1 800 774 2678,,CITI COSTCO VISA
2019-02-02,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-02-03,-8.8,AMAZON MUSIC*MB4KX7W888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-04,-10784.52,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-02-05,-18.92,LESCHI FOOD MART: Sale,Groceries,CHASE UNITED VISA
2019-02-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-02-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
