TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2019-01-03,Bought,EQ,UVXY,47,-4033.55,85.7149,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-01-11,Bought,EQ,UVXY,35,-2271.0,64.7444,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-02-28,Bought,EQ,RDFN,40,-802.55,19.94,4.95,REDFIN CORPORATION            COMMON STOCK
2019-02-28,Bought,EQ,UVXY,46,-1982.95,43.0,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-03-04,Bought,EQ,UVXY,75,-2973.16,39.5761,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-03-25,Bought,EQ,TSLA,7,-1827.26,260.33,4.95,TESLA INC                     COMMON STOCK
2019-04-03,Bought,EQ,UVXY,80,-2986.55,37.27,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-06-03,Bought,EQ,FB,6,-990.75,164.3,4.95,FACEBOOK INC                  CL A
2019-06-07,Bought,EQ,AMJL,140,-1995.75,14.22,4.95,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-07-01,Bought,EQ,UVXY,103,-2991.94,28.9999,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-07-16,Bought,EQ,UVXY,119,-2990.66,25.09,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-02,Bought,EQ,TSLA,5,-1164.45,231.9,4.95,TESLA INC                     COMMON STOCK
2019-08-13,Bought,EQ,UVXY,54,-1984.58,36.6599,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-19,Bought,EQ,UVXY,32,-986.71,30.68,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-19,Bought,EQ,UVXY,30,-955.35,31.68,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-22,Bought,EQ,UVXY,65,-1990.7,30.55,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-09-30,Bought,EQ,UVXY,78,-2067.19,26.439,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-10-02,Bought,EQ,IBM,5,-709.9,140.99,4.95,INTERNATIONAL BUSINESS        MACHINES CORP
2019-10-17,Bought,EQ,BZUN,14,-596.12,42.58,0.0,***BAOZUN INC                 AMERICAN DEPOSITARY SHARES
2019-10-17,Bought,EQ,IBM,4,-532.95,133.2378,0.0,INTERNATIONAL BUSINESS        MACHINES CORP
2019-10-18,Bought,EQ,UVXY,114,-2475.53,21.7152,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-10-25,Bought,EQ,BA,2,-680.12,340.0599,0.0,BOEING CO
2019-11-04,Bought,EQ,UVXY,54,-981.59,18.1775,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-12-16,Bought,EQ,UVXY,234,-2997.52,12.8099,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
