TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2019-01-02,Dividend,EQ,HPQ,0,8.65,0.0,0.0,HP INC                        COM                           
2019-01-03,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-02-06,Dividend,EQ,BOND,0,3.2,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-02-21,Dividend,EQ,AMLP,0,68.45,0.0,0.0,ALPS ETF TR ALERIAN MLP       CASH DIV  ON     351 SHS      
2019-03-06,Dividend,EQ,BOND,0,3.2,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-03-11,Dividend,EQ,CVX,0,11.9,0.0,0.0,CHEVRON CORPORATION           CASH DIV  ON      10 SHS      
2019-03-25,Dividend,EQ,RDS.B,0,14.1,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG B SHS    
2019-03-25,Dividend,EQ,RDS.A,0,12.43,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG A SHS    
2019-03-25,Dividend,EQ,RDS.A,0,-1.86,0.0,0.0,***ROYAL DUTCH Foreign Stk W/HSPONSORED ADR REPSTG A SHS    
2019-03-29,Dividend,EQ,BP,0,18.45,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-03-29,Dividend,EQ,BP,0,-0.15,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-04-03,Dividend,EQ,HPQ,0,8.65,0.0,0.0,HP INC                        COM                           
2019-04-04,Dividend,EQ,BOND,0,3.1,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-05-06,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-05-16,Dividend,EQ,AMLP,0,68.45,0.0,0.0,ALPS ETF TR ALERIAN MLP       CASH DIV  ON     351 SHS      
2019-06-06,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-06-10,Dividend,EQ,CVX,0,11.9,0.0,0.0,CHEVRON CORPORATION           CASH DIV  ON      10 SHS      
2019-06-21,Dividend,EQ,BP,0,18.45,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-06-21,Dividend,EQ,AMJL,0,50.06,0.0,0.0,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-06-21,Dividend,EQ,BP,0,-0.15,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-06-24,Dividend,EQ,RDS.A,0,-1.86,0.0,0.0,***ROYAL DUTCH Foreign Stk W/HSPONSORED ADR REPSTG A SHS    
2019-06-24,Dividend,EQ,RDS.A,0,12.43,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG A SHS    
2019-06-24,Dividend,EQ,RDS.B,0,14.1,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG B SHS    
2019-07-03,Dividend,EQ,HPQ,0,8.65,0.0,0.0,HP INC                        COM                           
2019-07-05,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-08-06,Dividend,EQ,BOND,0,3.1,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-08-15,Dividend,EQ,AMLP,0,66.69,0.0,0.0,ALPS ETF TR ALERIAN MLP       CASH DIV  ON     351 SHS      
2019-08-21,Dividend,EQ,AMJL,0,28.66,0.0,0.0,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-09-06,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-09-10,Dividend,EQ,CVX,0,11.9,0.0,0.0,CHEVRON CORPORATION           CASH DIV  ON      10 SHS      
2019-09-20,Dividend,EQ,BP,0,18.45,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
