TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2019-01-28,Interest,BOND,00099A109,0,0.97,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 12/26 THRU 01/25   
2019-02-26,Interest,BOND,00099A109,0,1.0,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 01/26 THRU 02/25   
2019-03-26,Interest,BOND,00099A109,0,0.87,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 02/26 THRU 03/25   
2019-04-26,Interest,BOND,00099A109,0,0.75,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 03/26 THRU 04/25   
2019-05-28,Interest,BOND,00099A109,0,0.78,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 04/26 THRU 05/25   
2019-06-26,Interest,BOND,00099A109,0,0.76,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 05/26 THRU 06/25   
2019-07-26,Interest,BOND,00099A109,0,0.48,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 06/26 THRU 07/25   
2019-08-26,Interest,BOND,00099A109,0,0.2,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 07/26 THRU 08/06   
2019-08-26,Interest,BOND,00099A109,0,0.14,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.029% 08/07 THRU 08/25   
2019-09-26,Interest,BOND,00099A109,0,0.22,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.029% 08/26 THRU 09/18   
2019-09-26,Interest,BOND,00099A109,0,0.02,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.009% 09/19 THRU 09/25   
2019-10-28,Interest,BOND,00099A109,0,0.09,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.009% 09/26 THRU 10/25   
2019-11-26,Interest,BOND,00099A109,0,0.11,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.009% 10/26 THRU 11/25   
2019-12-26,Interest,BOND,00099A109,0,0.12,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.009% 11/26 THRU 12/25   
