TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2019-01-03,Sold,EQ,UVXY,-47,3836.3,81.7301,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-01-14,Sold,EQ,UVXY,-35,2238.52,64.1,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-02-28,Sold,EQ,UVXY,-46,2019.63,44.0135,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-03-06,Sold,EQ,UVXY,-75,3307.0,44.1601,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-05-02,Sold,EQ,UVXY,-80,2717.39,34.0301,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-02,Sold,EQ,UVXY,-222,6823.59,30.76,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-20,Sold,EQ,UVXY,-116,3613.0,31.19,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-26,Sold,EQ,UVXY,-65,2133.49,32.9,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-10-08,Sold,EQ,UVXY,-78,2230.83,28.6012,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-10-11,Sold,EQ,FB,-15,2776.29,185.0902,0.0,FACEBOOK INC                  CL A
2019-10-11,Sold,EQ,FB,-4,740.4,185.105,0.0,FACEBOOK INC                  CL A
2019-10-25,Sold,EQ,TSLA,-12,3932.02,327.6756,0.0,TESLA INC                     COMMON STOCK
2019-11-12,Sold,EQ,BA,-2,732.3,366.16,0.0,BOEING CO
2019-12-03,Sold,EQ,UVXY,-168,2980.23,17.74,0.0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
