SecurityType,Price,TransactionDate,Amount,Quantity,Description,Symbol,TransactionType,Commission
EQ,85.7149,2019-01-03,-4033.55,47,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,81.7301,2019-01-03,3836.3,-47,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,64.7444,2019-01-11,-2271.0,35,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,64.1,2019-01-14,2238.52,-35,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,19.94,2019-02-28,-802.55,40,REDFIN CORPORATION            COMMON STOCK,RDFN,Bought,4.95
EQ,43.0,2019-02-28,-1982.95,46,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,44.0135,2019-02-28,2019.63,-46,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,39.5761,2019-03-04,-2973.16,75,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,44.1601,2019-03-06,3307.0,-75,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,260.33,2019-03-25,-1827.26,7,TESLA INC                     COMMON STOCK,TSLA,Bought,4.95
EQ,37.27,2019-04-03,-2986.55,80,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,34.0301,2019-05-02,2717.39,-80,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,164.3,2019-06-03,-990.75,6,FACEBOOK INC                  CL A,FB,Bought,4.95
EQ,14.22,2019-06-07,-1995.75,140,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY,AMJL,Bought,4.95
EQ,28.9999,2019-07-01,-2991.94,103,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,25.09,2019-07-16,-2990.66,119,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,30.76,2019-08-02,6823.59,-222,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,231.9,2019-08-02,-1164.45,5,TESLA INC                     COMMON STOCK,TSLA,Bought,4.95
EQ,36.6599,2019-08-13,-1984.58,54,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,31.68,2019-08-19,-955.35,30,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,30.68,2019-08-19,-986.71,32,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,31.19,2019-08-20,3613.0,-116,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,30.55,2019-08-22,-1990.7,65,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,32.9,2019-08-26,2133.49,-65,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,4.95
EQ,26.439,2019-09-30,-2067.19,78,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,4.95
EQ,140.99,2019-10-02,-709.9,5,INTERNATIONAL BUSINESS        MACHINES CORP,IBM,Bought,4.95
EQ,28.6012,2019-10-08,2230.83,-78,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,0.0
EQ,185.105,2019-10-11,740.4,-4,FACEBOOK INC                  CL A,FB,Sold,0.0
EQ,185.0902,2019-10-11,2776.29,-15,FACEBOOK INC                  CL A,FB,Sold,0.0
EQ,42.58,2019-10-17,-596.12,14,***BAOZUN INC                 AMERICAN DEPOSITARY SHARES,BZUN,Bought,0.0
EQ,133.2378,2019-10-17,-532.95,4,INTERNATIONAL BUSINESS        MACHINES CORP,IBM,Bought,0.0
EQ,21.7152,2019-10-18,-2475.53,114,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,0.0
EQ,340.0599,2019-10-25,-680.12,2,BOEING CO,BA,Bought,0.0
EQ,327.6756,2019-10-25,3932.02,-12,TESLA INC                     COMMON STOCK,TSLA,Sold,0.0
EQ,18.1775,2019-11-04,-981.59,54,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,0.0
EQ,366.16,2019-11-12,732.3,-2,BOEING CO,BA,Sold,0.0
EQ,17.74,2019-12-03,2980.23,-168,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Sold,0.0
EQ,12.8099,2019-12-16,-2997.52,234,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM,UVXY,Bought,0.0
