TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2019-01-02,Dividend,EQ,HPQ,0,8.65,0.0,0.0,HP INC                        COM                           
2019-01-03,Sold,EQ,UVXY,-47,3836.3,81.7301,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-01-03,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-01-03,Bought,EQ,UVXY,47,-4033.55,85.7149,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-01-11,Bought,EQ,UVXY,35,-2271.0,64.7444,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-01-14,Sold,EQ,UVXY,-35,2238.52,64.1,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-01-28,Interest,BOND,00099A109,0,0.97,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 12/26 THRU 01/25   
2019-02-06,Dividend,EQ,BOND,0,3.2,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-02-21,Dividend,EQ,AMLP,0,68.45,0.0,0.0,ALPS ETF TR ALERIAN MLP       CASH DIV  ON     351 SHS      
2019-02-26,Interest,BOND,00099A109,0,1.0,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 01/26 THRU 02/25   
2019-02-28,Sold,EQ,UVXY,-46,2019.63,44.0135,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-02-28,Bought,EQ,RDFN,40,-802.55,19.94,4.95,REDFIN CORPORATION            COMMON STOCK
2019-02-28,Bought,EQ,UVXY,46,-1982.95,43.0,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-03-04,Bought,EQ,UVXY,75,-2973.16,39.5761,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-03-06,Sold,EQ,UVXY,-75,3307.0,44.1601,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-03-06,Dividend,EQ,BOND,0,3.2,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-03-11,Dividend,EQ,CVX,0,11.9,0.0,0.0,CHEVRON CORPORATION           CASH DIV  ON      10 SHS      
2019-03-25,Dividend,EQ,RDS.B,0,14.1,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG B SHS    
2019-03-25,Dividend,EQ,RDS.A,0,12.43,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG A SHS    
2019-03-25,Dividend,EQ,RDS.A,0,-1.86,0.0,0.0,***ROYAL DUTCH Foreign Stk W/HSPONSORED ADR REPSTG A SHS    
2019-03-25,Bought,EQ,TSLA,7,-1827.26,260.33,4.95,TESLA INC                     COMMON STOCK
2019-03-26,Interest,BOND,00099A109,0,0.87,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 02/26 THRU 03/25   
2019-03-29,Dividend,EQ,BP,0,18.45,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-03-29,Dividend,EQ,BP,0,-0.15,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-04-03,Dividend,EQ,HPQ,0,8.65,0.0,0.0,HP INC                        COM                           
2019-04-03,Bought,EQ,UVXY,80,-2986.55,37.27,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-04-04,Dividend,EQ,BOND,0,3.1,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-04-26,Interest,BOND,00099A109,0,0.75,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 03/26 THRU 04/25   
2019-05-02,Sold,EQ,UVXY,-80,2717.39,34.0301,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-05-06,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-05-16,Dividend,EQ,AMLP,0,68.45,0.0,0.0,ALPS ETF TR ALERIAN MLP       CASH DIV  ON     351 SHS      
2019-05-28,Interest,BOND,00099A109,0,0.78,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 04/26 THRU 05/25   
2019-06-03,Bought,EQ,FB,6,-990.75,164.3,4.95,FACEBOOK INC                  CL A
2019-06-06,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-06-07,Bought,EQ,AMJL,140,-1995.75,14.22,4.95,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-06-10,Dividend,EQ,CVX,0,11.9,0.0,0.0,CHEVRON CORPORATION           CASH DIV  ON      10 SHS      
2019-06-21,Dividend,EQ,BP,0,18.45,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-06-21,Dividend,EQ,AMJL,0,50.06,0.0,0.0,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-06-21,Dividend,EQ,BP,0,-0.15,0.0,0.0,***BP P L C SPONSORED ADR     (FRM BP AMOCO PLC)            
2019-06-24,Dividend,EQ,RDS.A,0,-1.86,0.0,0.0,***ROYAL DUTCH Foreign Stk W/HSPONSORED ADR REPSTG A SHS    
2019-06-24,Dividend,EQ,RDS.A,0,12.43,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG A SHS    
2019-06-24,Dividend,EQ,RDS.B,0,14.1,0.0,0.0,***ROYAL DUTCH SHELL PLC      SPONSORED ADR REPSTG B SHS    
2019-06-26,Interest,BOND,00099A109,0,0.76,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 05/26 THRU 06/25   
2019-07-01,Bought,EQ,UVXY,103,-2991.94,28.9999,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-07-03,Dividend,EQ,HPQ,0,8.65,0.0,0.0,HP INC                        COM                           
2019-07-05,Dividend,EQ,BOND,0,3.0,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-07-16,Bought,EQ,UVXY,119,-2990.66,25.09,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-07-26,Interest,BOND,00099A109,0,0.48,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 06/26 THRU 07/25   
2019-08-02,Sold,EQ,UVXY,-222,6823.59,30.76,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-02,Bought,EQ,TSLA,5,-1164.45,231.9,4.95,TESLA INC                     COMMON STOCK
2019-08-06,Dividend,EQ,BOND,0,3.1,0.0,0.0,PIMCO ACTIVE BOND EXCHANGE    TRADED FUND                   
2019-08-13,Bought,EQ,UVXY,54,-1984.58,36.6599,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-14,Fee,EQ,BZUN,0,-0.32,0.0,0.0,***BAOZUN INC                 AMERICAN DEPOSITARY SHARES    
2019-08-15,Dividend,EQ,AMLP,0,66.69,0.0,0.0,ALPS ETF TR ALERIAN MLP       CASH DIV  ON     351 SHS      
2019-08-19,Bought,EQ,UVXY,32,-986.71,30.68,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-19,Bought,EQ,UVXY,30,-955.35,31.68,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-20,Sold,EQ,UVXY,-116,3613.0,31.19,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-21,Dividend,EQ,AMJL,0,28.66,0.0,0.0,***CREDIT SUISSE AG           CREDIT SUISSE X LNKS MNTHLY PY
2019-08-22,Bought,EQ,UVXY,65,-1990.7,30.55,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
2019-08-26,Interest,BOND,00099A109,0,0.2,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.069% 07/26 THRU 08/06   
2019-08-26,Interest,BOND,00099A109,0,0.14,0.0,0.0,INTEREST ON CASH BALANCE      AT  0.029% 08/07 THRU 08/25   
2019-08-26,Sold,EQ,UVXY,-65,2133.49,32.9,4.95,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
