Date,Amount,Description,Category,Source
2019-01-02,-1866.03,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-01-09,15000.0,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 101874046 FROM XXX-XX7145,,MS CHECKING
2019-01-14,-3000.0,Check: BARTON SKUBI Check # 1148,,MS CHECKING
2019-01-16,-2669.2,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-01-22,-904.17,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-01-22,-81.75,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-01-29,15000.0,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 102814719 FROM XXX-XX7145,,MS CHECKING
2019-02-01,1.84,Interest Income: MORGAN STANLEY BANK N.A. (Period 01/01-02/03),,MS CHECKING
2019-02-04,-10784.52,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-02-18,-1002.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-02-19,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-02-19,-1030.01,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-02-19,-330.56,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-02-19,-40.0,Check: JOHN LINDGRED Check # 1149,,MS CHECKING
2019-02-19,-1002.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-02-20,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-02-22,-80.6,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-02-28,1.49,Interest Income: MORGAN STANLEY BANK N.A. (Period 02/04-02/28),,MS CHECKING
2019-03-04,-4936.95,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-03-04,-607.85,Check: JPL Check # 1150,,MS CHECKING
2019-03-05,-1250.0,Check: PETER ROTHSCHILD Check # 1151,,MS CHECKING
2019-03-12,20103.38,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 105314443 FROM XXX-XX7145,,MS CHECKING
2019-03-16,-1202.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-03-16,-802.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-03-18,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-03-18,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-03-18,-668.35,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-03-19,-244.82,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-03-22,-51.15,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-03-25,-79.92,Check: JUSTIN CHU Check # 1152,,MS CHECKING
2019-03-28,-120.0,Check: KEATINGS CLEANING Check # 1153,,MS CHECKING
2019-03-29,2.26,Interest Income: MORGAN STANLEY BANK N.A. (Period 03/01-03/31),,MS CHECKING
2019-04-02,-9814.01,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-04-06,-502.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-04-08,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-04-08,-1367.0,Check: DESIGN WEST MGMT Check # 1154,,MS CHECKING
2019-04-11,-402.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-04-12,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-04-16,-179.92,Check: JUSTIN CHU Check # 1155,,MS CHECKING
2019-04-16,-766.95,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-04-19,-636.69,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-04-22,4000.0,Online Transfer: TRANSFER AS OF 04/21 CONFIRMATION # 107713237 FROM XXX-XX7145,,MS CHECKING
2019-04-22,-15.0,Zelle Payment: TO GUS MAIRS (XXX) XXX-7719 CONFIRMATION # 107694934,,MS CHECKING
2019-04-23,-68.84,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-04-30,1.46,Interest Income: MORGAN STANLEY BANK N.A. (Period 04/01-04/30),,MS CHECKING
2019-05-02,-2311.99,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-05-02,-2175.0,Check: DESIGN WEST MGT Check # 1156,,MS CHECKING
2019-05-03,4.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-05-04,-204.0,Cash Advance: 2731 77TH AVE SW MERCER ISLAND WA,,MS CHECKING
2019-05-16,-1066.8,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-05-20,-50.0,Check: JUSTIN CHU Check # 1157,,MS CHECKING
2019-05-21,-636.42,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-05-22,-139.43,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-05-24,-312.61,Check: CITY OF MERCER ISLAND Check # 1159,,MS CHECKING
2019-05-30,15000.0,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 109942871 FROM XXX-XX7145,,MS CHECKING
2019-05-30,327.0,Direct Deposit: DIRECT DEP FUNDS RECVD IRS TREAS 310 TAX REF,,MS CHECKING
2019-05-31,1.04,Interest Income: MORGAN STANLEY BANK N.A. (Period 05/01-05/31),,MS CHECKING
2019-06-03,-1442.41,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-06-17,-3221.85,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-06-19,-876.21,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
