For Account:,####7090

TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

12/28/20,Interest,EQ,#2145605,0,0.17,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
12/24/20,Bought,EQ,AI,6,-973.83,162.305,0,C3 AI INC                     CLASS A COMMON STOCK
12/24/20,Bought,EQ,DASH,1,-156.25,156.245,0,DOORDASH INC                  CLASS A COMMON STOCK
12/24/20,Bought,EQ,DASH,6,-937.92,156.32,0,DOORDASH INC                  CLASS A COMMON STOCK
12/24/20,Dividend,EQ,JNK,0,8.63,0,0,SPDR SERIES TRUST             SPDR BLOOMBERG BARCLAYS HIGH  
12/10/20,Dividend,EQ,CVX,0,34.83,0,0,CHEVRON CORPORATION           CASH DIV  ON      27 SHS      
12/09/20,Bought,EQ,UVXY,333,-3433.23,10.31,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
12/09/20,Sold,EQ,UVXY,-333,3642.89,10.94,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
12/09/20,Bought,EQ,NFLX,6,-2965.68,494.28,0,NETFLIX COM INC
12/09/20,Bought,EQ,MRNA,21,-3299.73,157.13,0,MODERNA INC                   COMMON STOCK
12/07/20,Sold,EQ,UVXY,-300,3390,11.3004,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
12/07/20,Dividend,EQ,JNK,0,8.69,0,0,SPDR SERIES TRUST             SPDR BLOOMBERG BARCLAYS HIGH  
12/04/20,Bought,EQ,UVXY,300,-3317.97,11.0599,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
12/02/20,Bought,EQ,CRM,10,-2209.4,220.94,0,SALESFORCE.COM INC
12/02/20,Sold,EQ,CVX,-27,2446.14,90.6,0,CHEVRON CORPORATION
12/02/20,Bought,EQ,F,120,-1103.99,9.1999,0,FORD MOTOR CO                 PAR $0.01
11/27/20,Interest,EQ,#2145605,0,0.17,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
11/13/20,Dividend,EQ,MS,0,16.1,0,0,MORGAN STANLEY                CASH DIV  ON      46 SHS      
11/12/20,Sold,EQ,UVXY,-615,8166.94,13.28,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
11/06/20,Dividend,EQ,JNK,0,8.9,0,0,SPDR SERIES TRUST             SPDR BLOOMBERG BARCLAYS HIGH  
11/05/20,Bought,EQ,UVXY,352,-5544,15.75,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
11/04/20,Bought,EQ,UVXY,263,-4423.37,16.8189,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
11/02/20,Dividend,EQ,T,0,18.72,0,0,AT&T INC                      CASH DIV  ON      36 SHS      
10/30/20,Sold,EQ,T,-36,961.53,26.71,0,AT&T INC
10/30/20,Sold,EQ,IYJ,-13,2115.96,162.77,0,ISHARES TRUST                 ISHARES U S INDUSTRIALS ETF
10/30/20,Sold,EQ,BA,-12,1718.84,143.24,0,BOEING CO
10/30/20,Sold,EQ,MS,-46,2175.4,47.2925,0,MORGAN STANLEY                THE ISSUER OF THIS SECURITY   
10/30/20,Sold,EQ,BLK,-6,3551.32,591.9,0,BLACKROCK INC
10/30/20,Sold,EQ,AAPL,-29,3157.74,108.89,0,APPLE INC
10/30/20,Bought,EQ,UVXY,250,-5417.5,21.67,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/30/20,Sold,EQ,UVXY,-250,5423.08,21.6929,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/28/20,Sold,EQ,UVXY,-313,6985.96,22.32,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/28/20,Bought,EQ,BLK,1,-604.05,604.05,0,BLACKROCK INC
10/28/20,Bought,EQ,AAPL,29,-3265.69,112.61,0,APPLE INC
10/28/20,Bought,EQ,MS,46,-2188.32,47.5721,0,MORGAN STANLEY                THE ISSUER OF THIS SECURITY   
10/28/20,Sold,EQ,SNOW,-4,1029.97,257.5,0,SNOWFLAKE INC                 CLASS A COMMON STOCK
10/28/20,Bought,EQ,UVXY,313,-6626.18,21.1699,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/27/20,Sold,EQ,UVXY,-293,5719.2,19.52,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/27/20,Bought,EQ,UVXY,293,-5511.33,18.81,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/26/20,Sold,EQ,UVXY,-251,4607.34,18.3565,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/26/20,Bought,EQ,BLK,5,-3103.5,620.7,0,BLACKROCK INC
10/26/20,Bought,EQ,MO,115,-4427.5,38.5,0,ALTRIA GROUP INC
10/26/20,Interest,EQ,#2145605,0,0.18,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
10/21/20,Bought,EQ,UVXY,251,-4429.87,17.6489,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
10/16/20,Bought,EQ,BA,12,-2038.8,169.9,0,BOEING CO
10/09/20,Dividend,EQ,MO,0,88.58,0,0,ALTRIA GROUP INC              CASH DIV  ON     103 SHS      
10/07/20,Dividend,EQ,JNK,0,9.09,0,0,SPDR SERIES TRUST             SPDR BLOOMBERG BARCLAYS HIGH  
10/06/20,Bought,EQ,SNOW,3,-729.3,243.1,0,SNOWFLAKE INC                 CLASS A COMMON STOCK
10/06/20,Bought,EQ,SNOW,1,-243.04,243.0405,0,SNOWFLAKE INC                 CLASS A COMMON STOCK
10/02/20,Sold,EQ,UVXY,-411,8764.94,21.3265,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
09/30/20,Bought,EQ,UVXY,103,-1993.05,19.35,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
09/30/20,Sold,EQ,UN,-64,3892.66,60.8244,0,***UNILEVER N V               YORK SHS ADR
09/29/20,Bought,EQ,UVXY,154,-3110.8,20.2,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
09/29/20,Dividend,EQ,IYJ,0,5.61,0,0,ISHARES TRUST                 ISHARES U S INDUSTRIALS ETF   
09/28/20,Interest,EQ,#2145605,0,0.14,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
09/25/20,Sold,EQ,IBM,-36,4233.86,117.6101,0,INTERNATIONAL BUSINESS        MACHINES CORP
09/25/20,Bought,EQ,UVXY,154,-3314.06,21.5199,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
09/24/20,Sold,EQ,UVXY,-200,4363.88,21.82,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
09/24/20,Sold,EQ,TSLA,-10,3580.92,358.1,0,TESLA INC                     COMMON STOCK                  
09/24/20,Sold,EQ,XLE,-173,5137.96,29.7,0,SELECT SECTOR SPDR TRUST      SHS BEN INT ENERGY            
09/24/20,Dividend,EQ,XLE,0,94.04,0,0,SELECT SECTOR SPDR TRUST      SHS BEN INT ENERGY            
09/23/20,Bought,EQ,TSLA,10,-3973.22,397.3215,0,TESLA INC                     COMMON STOCK                  
09/23/20,Bought,EQ,UVXY,200,-4091.54,20.4577,0,PROSHARES TRUST II            PROSHARES ULTRA VIX SHORT TERM
09/21/20,Bought,EQ,IYJ,13,-2120.17,163.09,0,ISHARES TRUST                 ISHARES U S INDUSTRIALS ETF   
